filename,k,freq_hz,magnitude,width_hz,noise_floor,snr
B_S2_D1_067-bebop_000_.wav,1,45.6471,3.88E+02,21.4844,9.29E+01,4.1732
B_S2_D1_067-bebop_000_.wav,2,92.3435,1.91E+02,38.0859,1.17E+02,1.6317
B_S2_D1_067-bebop_000_.wav,3,138.8027,1.32E+02,35.1562,7.76E+01,1.6969
B_S2_D1_067-bebop_000_.wav,4,183.8542,7.36E+01,35.1562,5.24E+01,1.4056
B_S2_D1_067-bebop_000_.wav,5,226.5625,5.23E+01,15.625,4.23E+01,1.2365
B_S2_D1_067-bebop_000_.wav,6,275.0641,3.89E+01,34.1797,3.19E+01,1.2196
B_S2_D1_067-bebop_000_.wav,7,324.2188,1.87E+01,36.1328,2.59E+01,0.72
B_S2_D1_067-bebop_000_.wav,8,366.1141,2.69E+01,34.1797,2.42E+01,1.1123
B_S2_D1_067-bebop_000_.wav,9,411.5983,6.86E+01,38.0859,2.55E+01,2.6947
B_S2_D1_067-bebop_000_.wav,10,456.0547,2.54E+01,7.8125,1.57E+01,1.6134
B_S2_D1_067-bebop_001_.wav,1,48.8579,2.40E+02,0.9766,2.20E+01,10.905
B_S2_D1_067-bebop_001_.wav,2,100.5859,6.86E+01,19.5312,2.06E+01,3.3205
B_S2_D1_067-bebop_001_.wav,3,149.4141,8.86E+00,38.0859,6.27E+00,1.413
B_S2_D1_067-bebop_001_.wav,4,197.6856,5.31E+00,38.0859,3.18E+00,1.6695
B_S2_D1_067-bebop_001_.wav,5,247.0703,9.52E+00,5.8594,2.89E+00,3.2972
B_S2_D1_067-bebop_001_.wav,6,295.8984,2.37E+01,4.8828,3.80E+00,6.2439
B_S2_D1_067-bebop_001_.wav,7,344.7266,2.55E+01,14.6484,1.40E+01,1.8187
B_S2_D1_067-bebop_001_.wav,8,393.5547,7.84E+01,26.3672,2.51E+01,3.1219
B_S2_D1_067-bebop_001_.wav,9,438.8568,3.31E+01,15.625,1.22E+01,2.7217
B_S2_D1_067-bebop_001_.wav,10,488.0496,5.88E+00,31.25,3.61E+00,1.6292
B_S2_D1_067-bebop_002_.wav,1,49.8529,2.90E+02,21.4844,5.78E+01,5.0199
B_S2_D1_067-bebop_002_.wav,2,102.5391,6.06E+01,37.1094,6.87E+01,0.8822
B_S2_D1_067-bebop_002_.wav,3,147.5816,8.53E+01,37.1094,4.55E+01,1.8738
B_S2_D1_067-bebop_002_.wav,4,197.0341,2.82E+01,38.0859,2.64E+01,1.0708
B_S2_D1_067-bebop_002_.wav,5,248.1212,1.99E+01,39.0625,1.34E+01,1.4832
B_S2_D1_067-bebop_002_.wav,6,295.8984,1.32E+01,31.25,6.00E+00,2.1998
B_S2_D1_067-bebop_002_.wav,7,350.24,1.13E+01,19.5312,6.89E+00,1.6448
B_S2_D1_067-bebop_002_.wav,8,396.3488,7.80E+00,38.0859,1.16E+01,0.6714
B_S2_D1_067-bebop_002_.wav,9,445.8023,5.67E+00,10.7422,4.12E+00,1.3773
B_S2_D1_067-bebop_002_.wav,10,500.1881,4.69E+00,37.1094,2.97E+00,1.5785
B_S2_D1_067-bebop_003_.wav,1,68.3437,2.90E+02,33.2031,8.98E+01,3.2291
B_S2_D1_067-bebop_003_.wav,2,139.6484,1.16E+02,37.1094,5.56E+01,2.0905
B_S2_D1_067-bebop_003_.wav,3,206.0713,9.26E+01,33.2031,4.62E+01,2.0028
B_S2_D1_067-bebop_003_.wav,4,270.5078,2.96E+01,26.3672,2.33E+01,1.27
B_S2_D1_067-bebop_003_.wav,5,340.3956,2.56E+01,37.1094,2.10E+01,1.2151
B_S2_D1_067-bebop_003_.wav,6,413.0859,2.55E+01,0.9766,1.34E+01,1.9086
B_S2_D1_067-bebop_003_.wav,7,476.7651,2.46E+00,38.0859,2.97E+00,0.8274
B_S2_D1_067-bebop_003_.wav,8,543.9453,4.38E+00,1.9531,3.18E+00,1.3755
B_S2_D1_067-bebop_003_.wav,9,617.1718,3.12E+00,36.1328,2.18E+00,1.4262
B_S2_D1_067-bebop_003_.wav,10,680.6641,6.98E+00,23.4375,3.23E+00,2.157
B_S2_D1_067-bebop_004_.wav,1,48.3539,2.13E+02,1.1161,1.60E+01,13.3283
B_S2_D1_067-bebop_004_.wav,2,97.1535,3.59E+01,18.9732,1.80E+01,1.9957
B_S2_D1_067-bebop_004_.wav,3,143.0376,9.29E+00,14.5089,7.43E+00,1.2504
B_S2_D1_067-bebop_004_.wav,4,194.6373,4.78E+00,30.1339,3.11E+00,1.5378
B_S2_D1_067-bebop_004_.wav,5,240.7363,4.23E+00,12.2768,2.59E+00,1.6312
B_S2_D1_067-bebop_004_.wav,6,287.3168,2.44E+00,30.1339,1.83E+00,1.3327
B_S2_D1_067-bebop_004_.wav,7,339.2857,2.24E+00,13.3929,2.25E+00,0.9937
B_S2_D1_067-bebop_004_.wav,8,382.9605,5.02E+01,13.3929,1.47E+01,3.4244
B_S2_D1_067-bebop_004_.wav,9,430.7244,1.28E+01,4.4643,6.67E+00,1.9121
B_S2_D1_067-bebop_004_.wav,10,481.0255,3.86E+00,18.9732,2.42E+00,1.5992
B_S2_D1_068-bebop_000_.wav,1,43.0776,7.30E+02,20.5078,1.53E+02,4.7731
B_S2_D1_068-bebop_000_.wav,2,88.8672,1.94E+02,37.1094,2.34E+02,0.8301
B_S2_D1_068-bebop_000_.wav,3,125.9766,3.85E+02,39.0625,1.86E+02,2.0641
B_S2_D1_068-bebop_000_.wav,4,174.8047,2.46E+02,36.1328,1.54E+02,1.5983
B_S2_D1_068-bebop_000_.wav,5,215.7629,3.02E+02,36.1328,1.15E+02,2.6182
B_S2_D1_068-bebop_000_.wav,6,259.279,1.41E+02,34.1797,8.32E+01,1.7012
B_S2_D1_068-bebop_000_.wav,7,299.3118,1.14E+02,35.1562,7.70E+01,1.4867
